title,price,mileage,location
2019 Ford Fiesta SE,"$13,295","101,311 mi.","Stone Mountain, GA (1,217 mi.)"
2014 Ford Fiesta SE,"$7,499","102,129 mi.","Fort Wayne, IN (1,043 mi.)"
2018 Ford Fiesta SE,"$13,495","74,602 mi.","El Paso, TX (561 mi.)"
2015 Ford Fiesta SE,"$6,000","93,978 mi.","Fort Myers, FL (1,615 mi.)"
2014 Ford Fiesta SE,"$8,995","90,494 mi.","Spokane Valley, WA (817 mi.)"
2019 Ford Fiesta SE,"$8,333","104,407 mi.","Union City, GA (1,208 mi.)"
2019 Ford Fiesta SE,"$13,795","73,093 mi.","Duluth, GA (1,216 mi.)"
2013 Ford Fiesta SE,"$5,990","160,611 mi.","Durand, IL (834 mi.)"
2019 Ford Fiesta ST Line,"$13,995","72,648 mi.","Perry, FL (1,378 mi.)"
2019 Ford Fiesta SE,"$12,895","100,997 mi.","Huntsville, AL (1,065 mi.)"
2014 Ford Fiesta ST,"$8,095","131,375 mi.","Mesa, AZ (578 mi.)"
2019 Ford Fiesta SE,"$7,826","113,622 mi.","Monroeville, PA (1,327 mi.)"
2017 Ford Fiesta SE,"$14,599","23,762 mi.","Jackson, TN (923 mi.)"
2015 Ford Fiesta SE,"$6,998","109,584 mi.","North Wilkesboro, NC (1,316 mi.)"
2016 Ford Fiesta ST,"$7,900","164,753 mi.","New Smyrna Beach, FL (1,550 mi.)"
2019 Ford Fiesta S,"$12,987","19,749 mi.","Nicholasville, KY (1,104 mi.)"
2018 Ford Fiesta SE,"$13,998","64,523 mi.","Glen Allen, VA (1,478 mi.)"
2019 Ford Fiesta SE,"$7,285","112,812 mi.","Englewood, CO (9 mi.)"
2019 Ford Fiesta SE,"$10,999","88,309 mi.","Titusville, FL (1,574 mi.)"
2016 Ford Fiesta SE,"$9,422","52,107 mi.","Palatka, FL (1,490 mi.)"
2017 Ford Fiesta SE,"$12,599","52,703 mi.","Littleton, CO (11 mi.)"
2013 Ford Fiesta S,"$9,998","105,831 mi.","Harrisonburg, VA (1,397 mi.)"
2013 Ford Fiesta SE,"$5,495","142,410 mi.","Lockport, IL (892 mi.)"
2019 Ford Fiesta SE,"$14,095","84,015 mi.","Conway, SC (1,490 mi.)"
2017 Ford Fiesta SE,"$12,977","7,432 mi.","Elk Grove Village, IL (899 mi.)"
2019 Ford Fiesta SE,"$13,995","51,426 mi.","Montclair, CA (805 mi.)"
2011 Ford Fiesta SE,"$5,690","151,889 mi.","Tucson, AZ (618 mi.)"
2018 Ford Fiesta SE,"$11,595","83,970 mi.","Nashville, TN (1,029 mi.)"
2018 Ford Fiesta S,"$7,329","95,086 mi.","Fort Myers, FL (1,609 mi.)"
2018 Ford Fiesta SE,"$17,998","3,950 mi.","Tucson, AZ (619 mi.)"
2017 Ford Fiesta SE,"$10,998","76,285 mi.","Savannah, GA (1,433 mi.)"
2013 Ford Fiesta SE,"$4,690","132,843 mi.","Janesville, WI (854 mi.)"
2018 Ford Fiesta SE,"$14,998","37,763 mi.","Fredericksburg, VA (1,473 mi.)"
2016 Ford Fiesta SE,"$6,891","66,112 mi.","Mesa, AZ (582 mi.)"
2019 Ford Fiesta SE,"$12,484","40,534 mi.","Thornton, CO (7 mi.)"
2017 Ford Fiesta ST,"$12,900","86,830 mi.","Edison, NJ (1,608 mi.)"
2019 Ford Fiesta SE,"$13,599","43,157 mi.","Parker, CO (19 mi.)"
2012 Ford Fiesta SE,"$3,899","152,860 mi.","Roselle, IL (892 mi.)"
2019 Ford Fiesta SE,"$14,599","46,071 mi.","Henderson, NV (605 mi.)"
2019 Ford Fiesta SE,"$8,899","81,500 mi.","Winter Park, FL (1,549 mi.)"
2017 Ford Fiesta SE,"$12,599","51,000 mi.","Lithia Springs, GA (1,197 mi.)"
2019 Ford Fiesta SE,"$6,699","129,034 mi.","North Attleborough, MA (1,753 mi.)"
2019 Ford Fiesta SE,"$12,495","119,709 mi.","Taylor, MI (1,142 mi.)"
2015 Ford Fiesta SE,"$12,095","94,564 mi.","Maple Heights, OH (1,231 mi.)"
2016 Ford Fiesta ST,"$10,493","112,033 mi.","Forest Lake, MN (718 mi.)"
2019 Ford Fiesta SE,"$9,895","62,001 mi.","Newington, NH (1,773 mi.)"
2019 Ford Fiesta SE,"$14,595","81,511 mi.","Phoenix, AZ (586 mi.)"
2016 Ford Fiesta SE,"$13,998","10,236 mi.","Tampa, FL (1,516 mi.)"
2012 Ford Fiesta SEL,"$4,999","109,977 mi.","Logan, UT (386 mi.)"
2019 Ford Fiesta SE,"$12,998","81,268 mi.","Woodbridge, VA (1,478 mi.)"
2016 Ford Fiesta SE,"$11,998","56,983 mi.","Irvine, CA (823 mi.)"
2017 Ford Fiesta S,"$5,999","153,635 mi.","Port Angeles, WA (1,079 mi.)"
2018 Ford Fiesta ST,"$9,393","159,492 mi.","Olympia, WA (1,030 mi.)"
2016 Ford Fiesta ST,"$13,980","83,600 mi.","Seattle, WA (1,024 mi.)"
2018 Ford Fiesta SE,"$9,995","62,272 mi.","Dade City, FL (1,516 mi.)"
2014 Ford Fiesta SE,"$10,998","46,399 mi.","Buena Park, CA (827 mi.)"
2017 Ford Fiesta ST 4dr Hatchback,"$11,995","81,982 mi.","Milford, OH (1,102 mi.)"
